id;product_fk;categorie;id
1114;154;Cocktail Mixers;1114
1115;155;Food & Beverage;1115
1116;155;Beverages;1116
1117;155;Juice & Cider;1117
1118;155;Food;1118
1119;155;Packaged Foods;1119
1120;155;Drinks;1120
1121;155;Juices;1121
1122;155;Beer;1122
1123;155; Wine & Spirits;1123
1124;155;Cocktail Mixers;1124
1125;155;Food & Grocery;1125
1126;155;Fruit Drinks;1126
1127;155;Grocery;1127
1128;155;Vegetable Juice;1128
1129;156;Food & Beverage;1129
1130;156;Beverages;1130
1131;156;Cocktail Mixes;1131
1132;156;Food;1132
1133;156;Beer;1133
